#Model    LogL(with_gamma=1.2)    LogL(back_only)        LogL(with_gamma=0.8)    LogL(with_gamma=0.9) LogL(with_gamma=1.0)   LogL(with_gamma=1.1)   LogL(with_gamma=1.3)   LogL(with_gamma=1.4)
XXIX      -1877071.74624128       -1878260.28093268      -1883031.8205919        -1882966.4551588     -1882909.7526404       -1882871.8112535       -1882836.1803644       -1882843.0706723
XXX       -1877530.69451798       -1878087.43538588      -1881549.2212842        -1881504.2958740     -1881456.3343639       -1881415.6405712       -1881340.7794158       -1881314.7920210
XXXI      -1877012.21626791       -1878319.21072618      -1880349.2650433        -1880304.4090902     -1880277.1307886       -1880272.5218617       -1880313.7530277       -1880363.8981705
XXXII     -1877379.35738318       -1878882.76890943      -1880378.8715380        -1880354.9984360     -1880354.3920335       -1880370.0413661       -1880465.1517481       -1880541.5131965
XXXIII    -1877067.23471190       -1878405.97906319      -1879807.5877453        -1879770.7707722     -1879760.4196500       -1879772.2128760       -1879864.7609214       -1879933.5062051
XXXIV     -1877124.57466301       -1878745.13856601      -1879375.5178516        -1879218.6295787     -1879111.8821524       -1879040.6545871       -1878988.6657347       -1879010.3260510
XXXV      -1877126.25714358       -1878753.90946900      -1879354.3948661        -1879194.4436418     -1879087.1991414       -1879020.6128793       -1878978.8488201       -1879002.9598012
XXXVI     -1877024.59940288       -1878644.31692279      -1879352.9477569        -1879200.2764584     -1879086.8747013       -1879018.0978243       -1878976.1414451       -1878990.6205990 
XXXVII    -1877028.10276161       -1878663.97202265      -1879352.9477569        -1879163.4833397     -1879052.6678843       -1878981.8673302       -1878939.6714194       -1878965.5099235
XXXVIII   -1876961.80142841       -1878329.97400171      -1879524.6878822        -1879487.0999486     -1879461.9630670       -1879452.2691864       -1879474.1475716       -1879503.8394489
XXXIX     -1876102.35410601       -1877355.65407034      -1879488.9795296        -1879346.3969661     -1879235.2890290       -1879138.4755451       -1879011.0698424       -1878980.5191558
XL        -1876698.18264209       -1877847.63911837      -1879354.5374316        -1879301.3052679     -1879262.5183843       -1879231.8785143       -1879210.3965075       -1879215.4819096
XLI       -1875271.83848480       -1876846.12229356      -1880913.1151656        -1880494.9734064     -1880175.9118935       -1879955.7308406       -1879754.5345428       -1879752.8240381
XLII      -1875590.10221976       -1876520.92933025      -1879586.6573413        -1879432.0032996     -1879308.2747827       -1879211.5957918       -1879096.3094897       -1879059.7139464
XLIII     -1875533.43936559       -1876401.93147525      -1879447.1504532        -1879350.7024507     -1879281.2983763       -1879238.5453943       -1879237.3222116       -1879275.2794386
XLIV      -1876142.65938563       -1876482.29992806      -1879503.5906433        -1879463.0520929     -1879428.8808610       -1879390.5146261       -1879331.5894624       -1879307.4943591
XLV       -1876176.24685188       -1876552.94585346      -1879462.5552814        -1879431.1599313     -1879392.0681957       -1879358.7877757       -1879304.7547818       -1879284.0072870 
XLVI      -1876588.40849365       -1876899.77191557      -1879535.5923909        -1879500.4427633     -1879459.7930532       -1879422.9101812       -1879360.7409636       -1879334.2299281 
XLVII     -1875151.52584473       -1877364.33299504      -1879271.3821333        -1879070.2195577     -1878925.1768228       -1878824.8400010       -1878740.8371104       -1878745.4583346 
XLVIII    -1875140.43390862       -1877384.02509094      -1879301.4517191        -1879076.2819531     -1878914.7708528       -1878804.7422594       -1878695.9728001       -1878696.5406357
XLIX      -1875036.53364852       -1876718.39873492      -1880241.5338430        -1879996.4495454     -1879797.3170482       -1879644.7234532       -1879454.5046925       -1879416.6777864 
L         -1875196.06048021       -1877031.79316652      -1880933.1435480        -1880648.0815940     -1880428.8517789       -1880256.4226564       -1880056.3213795       -1880020.0023908
LI        -1875620.94338622       -1878000.59379409      -1879392.3594833        -1879173.3010169     -1879021.7870900       -1878922.3576375       -1878860.5857665       -1878886.6414011
LII       -1875457.57241999       -1877793.47996387      -1879406.8493946        -1879182.1591578     -1879026.8228314       -1878928.2885132       -1878868.9193408       -1878892.3887452
LIII      -1875111.32407717       -1877339.84772804      -1879158.2751396        -1878957.4470572     -1878810.8237781       -1878717.3890573       -1878648.7492698       -1878668.8473671
LIV       -1876152.38928176       -1879368.00375919      -1883493.6212926        -1883087.3850474     -1882780.4286612       -1882561.9958498       -1882379.2338730       -1882408.9656385
LV        -1875731.34798361       -1876690.89912088      -1880001.0511221        -1879756.1191890     -1879564.8555218       -1879412.7845210       -1879213.0729031       -1879165.6908585
LVI       -1875832.26998113       -1876642.68837780      -1880958.0492844        -1880676.6252641     -1880453.8198941       -1880289.2088868       -1880071.8641290       -1880025.2520532
LVII      -1878624.70423268       -1883704.54245453      -1891072.9521492        -1890277.5827688     -1889632.4134664       -1889181.3596886       -1888973.4216443       -1889192.8681299
LVIII     -1876163.42772152       -1878970.35154482      -1880204.3937201        -1879959.2033063     -1879782.6065710       -1879647.8973773       -1879522.6739006       -1879518.1098787 
LIX       -1876063.84527690       -1878942.03382332      -1882738.5649658        -1882330.6576925     -1882011.7358602       -1881773.8323890       -1881507.8115372       -1881462.6698502
LX        -1875714.04056458       -1878228.20774323      -1880613.4883681        -1880376.5174082     -1880187.7761453       -1880042.5044560       -1879882.8974255       -1879864.2237055
LXI       -1877942.92036888       -1880670.95015697      -1882000.4937458        -1881703.3622314     -1881477.9385550       -1881308.0476688       -1881122.8116265       -1881101.8992545
LXII      -1887773.42263635       -1889449.03178467      -1879253.8339093        -1879038.1857912     -1878872.4568066       -1878748.9066374       -1878629.1117158       -1878629.3755570
LXIII     -1887698.73133835       -1889364.44412210      -1879397.9819713        -1879174.4380771     -1878998.6867171       -1878875.3053551       -1878740.5543966       -1878736.7091037
LXIV      -1889759.62767251       -1891202.55146489      -1879334.6302228        -1879153.6525564     -1879014.4118435       -1878919.7066114       -1878834.2467989       -1878849.3516188
LXV       -1881255.40874919       -1884616.88642352      -1884445.8371245        -1884004.8604402     -1883646.4801855       -1883377.7147609       -1883056.2085571       -1882999.7435330
LXVI      -1877639.15500072       -1880438.73807382      -1881691.3325015        -1881347.5038502     -1881077.2401127       -1880887.1879269       -1880695.5932421       -1880687.8198116 
LXVII     -1881225.69120465       -1884705.75191029      -1884009.4637722        -1883560.4613046     -1883198.5463794       -1882926.1453069       -1882623.2077921       -1882578.1539167
LXVIII    -1881774.89372873       -1885205.39018915      -1880316.3087223        -1880051.9672280     -1879853.3460893       -1879710.8796773       -1879568.8759257       -1879557.1089994
LXIX      -1887951.78779222       -1889872.45408109      -1880037.9684438        -1879751.0592682     -1879536.4339598       -1879385.7109853       -1879239.0236584       -1879238.5194434
LXX       -1887907.78279329       -1889821.51172822      -1880203.3692352        -1879904.9468977     -1879684.4292767       -1879524.5154918       -1879360.5121398       -1879354.2885153
LXXI      -1889785.21521455       -1891418.44365547      -1879908.6149209        -1879671.2242038     -1879496.9667624       -1879376.1984228       -1879279.8044473       -1879292.0359439 
LXXII     -1877234.07622373       -1878418.52059267      -1881745.3045699        -1881685.9170351     -1881632.5422280       -1881600.7061615       -1881585.5961915       -1881604.1525654
LXXIII    -1876520.30702820       -1877661.33107316      -1880372.7367449        -1880335.9080617     -1880319.0097931       -1880316.7355627       -1880362.7673029       -1880407.5326108
LXXIV     -1876178.65040719       -1877692.32182565      -1878665.3277877        -1878642.6958855     -1878641.4063258       -1878665.6256126       -1878763.0006473       -1878836.7353353
LXXV      -1876281.91558168       -1877740.26002691      -1878826.4800324        -1878797.7167329     -1878792.3448267       -1878810.4999140       -1878896.0854141       -1878962.4628383
LXXVI     -1877157.11173208       -1878565.90584801      -1879039.6864570        -1879046.2780290     -1879072.6298140       -1879120.5688224       -1879268.5219303       -1879359.3473540
LXXVII    -1877189.38576763       -1878300.55581548      -1880156.5951853        -1880127.9309865     -1880118.8694374       -1880123.1207673       -1880182.9530644       -1880232.0931823 
LXXVIII   -1877247.98917808       -1878387.33059511      -1881763.6492701        -1881692.0792344     -1881640.8422250       -1881599.1157949       -1881571.2527738       -1881582.0277676
LXXIX     -1876504.41949021       -1877619.61811397      -1880494.2627834        -1880448.0372986     -1880423.7390216       -1880409.2648317       -1880435.1235899       -1880473.3116708
LXXX      -1876486.93509089       -1877590.72158141      -1880350.7369307        -1880309.5883195     -1880286.1880814       -1880276.3829416       -1880309.2076387       -1880347.1109084
