4.88  3.020e-24  991.12    371.83 
4.88  3.311e-24  995.60    382.52 
4.88  3.631e-24  999.04    393.56 
4.88  3.981e-24  1002.22    404.47 
4.88  4.365e-24  1005.72    414.94 
4.88  4.786e-24  1009.76    425.61 
4.88  5.248e-24  1014.38    436.58 
4.88  5.754e-24  1018.94    447.93 
4.88  6.310e-24  1022.74    459.31 
4.88  6.918e-24  1026.53    470.83 
4.88  7.586e-24  1030.02    479.28 
4.88  8.318e-24  1033.61    490.21 
4.88  9.120e-24  1036.48    501.82 
4.88  1.000e-23  1039.20    514.54 
4.88  1.096e-23  1042.17    527.29 
4.88  1.202e-23  1045.29    540.37 
4.88  1.318e-23  1048.05    553.56 
4.88  1.445e-23  1050.56    566.85 
4.88  1.585e-23  1052.32    581.11 
4.88  1.738e-23  1053.50    593.76 
4.88  1.905e-23  1054.59    605.85 
4.88  2.089e-23  1055.42    619.10 
4.88  2.291e-23  1056.20    632.16 
4.88  2.512e-23  1057.12    645.11 
4.88  2.754e-23  1058.24    657.91 
4.88  3.020e-23  1059.57    669.83 
4.88  3.311e-23  1060.60    681.10 
4.88  3.631e-23  1061.36    692.16 
4.88  3.981e-23  1061.65    703.49 
4.88  4.365e-23  1061.96    715.48 
4.88  4.786e-23  1062.31    728.51 
4.88  5.248e-23  1062.70    741.60 
4.88  5.754e-23  1063.12    753.20 
4.88  6.310e-23  1063.57    765.89 
4.88  6.918e-23  1063.79    777.90 
4.88  7.586e-23  1064.04    787.85 
4.88  8.318e-23  1064.07    797.76 
4.88  9.120e-23  1064.07    807.04 
4.88  1.000e-22  1064.07    816.17 
4.88  1.096e-22  1064.07    825.61 
4.88  1.202e-22  1064.07    834.47 
4.88  1.318e-22  1064.07    843.26 
4.88  1.445e-22  1064.07    852.99 
4.88  1.585e-22  1064.07    862.98 
4.88  1.738e-22  1064.07    871.12 
4.88  1.905e-22  1064.07    880.05 
4.88  2.089e-22  1064.07    887.86 
4.88  2.291e-22  1064.07    894.00 
4.88  2.512e-22  1064.07    899.35 
4.88  2.754e-22  1064.07    904.19 
4.88  3.020e-22  1064.07    909.65 
4.88  3.311e-22  1064.07    913.13 
4.88  3.631e-22  1064.07    918.21 
4.88  3.981e-22  1064.07    923.61 
4.88  4.365e-22  1064.07    928.92 
4.88  4.786e-22  1064.07    934.01 
4.88  5.248e-22  1064.07    938.97 
4.88  5.754e-22  1064.07    944.38 
4.88  6.310e-22  1064.07    950.41 
4.88  6.918e-22  1064.07    957.09 
4.88  7.586e-22  1064.07    964.19 
4.88  8.318e-22  1064.07    971.34 
4.88  9.120e-22  1064.07    978.36 
4.88  1.000e-21  1064.07    984.96 
5.12  1.000e-29  0.27    0.27 
5.12  1.096e-29  0.27    0.27 
5.12  1.202e-29  0.28    0.27 
5.12  1.318e-29  0.28    0.28 
5.12  1.445e-29  0.29    0.28 
5.12  1.585e-29  0.29    0.29 
5.12  1.738e-29  0.30    0.30 
5.12  1.905e-29  0.30    0.30 
5.12  2.089e-29  0.31    0.31 
5.12  2.291e-29  0.32    0.31 
5.12  2.512e-29  0.33    0.32 
5.12  2.754e-29  0.34    0.33 
5.12  3.020e-29  0.35    0.34 
5.12  3.311e-29  0.36    0.35 
5.12  3.631e-29  0.37    0.28 
5.12  3.981e-29  0.39    0.17 
5.12  4.365e-29  0.41    0.06 
5.12  4.786e-29  0.42    -0.05 
5.12  5.248e-29  0.44    -0.16 
5.12  5.754e-29  0.46    -0.26 
5.12  6.310e-29  0.48    -0.36 
5.12  6.918e-29  0.50    -0.46 
5.12  7.586e-29  0.53    -0.55 
5.12  8.318e-29  0.56    -0.64 
5.12  9.120e-29  0.59    -0.73 
5.12  1.000e-28  0.63    -0.81 
5.12  1.096e-28  0.67    -0.89 
