      0.31316298  2.42351e-07  1.65951e-07  3.00304e-07
      0.40700436  3.22030e-07  2.40120e-07  3.75432e-07
      0.52896595  3.93842e-07  3.41308e-07  4.53361e-07
      0.68747413  4.40891e-07  3.97319e-07  4.91361e-07
      0.89348024  4.81376e-07  4.46142e-07  5.23544e-07
       1.1612176  7.84036e-07  7.41172e-07  8.17250e-07
       1.5091841  8.49219e-07  8.10707e-07  8.82248e-07
       1.9614211  8.43422e-07  8.02855e-07  8.81495e-07
       2.5491738  7.60135e-07  7.20667e-07  7.97436e-07
       3.3130507  7.82259e-07  7.28217e-07  8.13732e-07
       4.3058286  7.30311e-07  6.73549e-07  7.66500e-07
       7.2730064  4.40341e-07  4.16836e-07  4.75914e-07
       15.966137  2.94838e-07  2.62952e-07  3.29564e-07
       35.049816  1.74067e-07  1.43647e-07  2.04399e-07
