# 95% CLs observed and projected limits
# Heisig, Kraemer, Madge and Mueck, JHEP 03 (2020) 183 [arXiv:1912.08472]
# Scalar DM (cf. black, solid line in fig. 2 (right), as well as fig. 4)
# ----------------------------------------------------------------------------
#            |                           lambda_HP                            |
# ----------------------------------------------------------------------------
#  mDM[GeV]  |  13TeVobs  |  13TeVobs+ |  13TeVobs- |  14TeVproj |  27TeVproj |
# ----------------------------------------------------------------------------
  6.25575E+01  6.20900E-01  6.82600E-01  5.57700E-01  2.01700E-01  1.50300E-01
  6.25637E+01  6.87800E-01  7.56100E-01  6.17900E-01  2.23700E-01  1.66700E-01
  6.25700E+01  7.41200E-01  8.14900E-01  6.65900E-01  2.41200E-01  1.79700E-01
  6.25830E+01  8.26800E-01  9.09200E-01  7.42700E-01  2.69000E-01  2.00500E-01
  6.25950E+01  8.89100E-01  9.77900E-01  7.98500E-01  2.89200E-01  2.15500E-01
  6.26200E+01  9.91100E-01  1.09100E+00  8.89800E-01  3.22200E-01  2.40100E-01
  6.26450E+01  1.07200E+00  1.18000E+00  9.61900E-01  3.48200E-01  2.59500E-01
  6.26700E+01  1.14000E+00  1.25600E+00  1.02300E+00  3.70000E-01  2.75700E-01
  6.26950E+01  1.19900E+00  1.32200E+00  1.07600E+00  3.89000E-01  2.89900E-01
  6.27200E+01  1.25200E+00  1.38100E+00  1.12300E+00  4.05900E-01  3.02500E-01
  6.27900E+01  1.37900E+00  1.52200E+00  1.23500E+00  4.46100E-01  3.32400E-01
  6.28420E+01  1.45800E+00  1.61000E+00  1.30600E+00  4.71200E-01  3.51200E-01
  6.28820E+01  1.51300E+00  1.67200E+00  1.35500E+00  4.88700E-01  3.64100E-01
  6.29180E+01  1.56000E+00  1.72400E+00  1.39600E+00  5.03300E-01  3.75000E-01
  6.29510E+01  1.60000E+00  1.76900E+00  1.43200E+00  5.15900E-01  3.84300E-01
  6.29810E+01  1.63500E+00  1.80900E+00  1.46200E+00  5.26800E-01  3.92500E-01
  6.30100E+01  1.66700E+00  1.84500E+00  1.49100E+00  5.37000E-01  4.00000E-01
