#UPPER LIMITS FOR THE FUTURE DARWIN EXPERIMENT
#MASS [GeV]			cross section UL in units of 1e-48 cm^2
5.115627863527143   1903.1629854478776
5.677378031942679   668.8481203481555
6.300814323769325   235.06016642499097
6.99271052927087   88.1890871379911
8.175585292185534   29.0323436627481
9.558553094685292   10.203134800649286
11.371216758842918   3.585792486116003
13.527630102142282   1.5331672003568004
16.953561074668887   0.7470719757582198
22.775402632884877   0.41486226119734765
30.069742801589946   0.28028396546514367
41.10326487982017   0.24594029765931666
55.218098607186235   0.26255117957387103
74.17995681627431   0.319423461891096
96.25177520852355   0.34099741889085955
131.56953944214223   0.44288218350019887
176.75043147691855   0.5752085429264834
245.8377469884806   0.7975294424243073
336.0432478122644   1.1057784508859767
451.44027483536235   1.436167981531241
606.4645639220917   1.8652728035375639
843.5163681194625   2.760883205506621
1113.6716503821758   3.585792486116003
1302.0584116954542   4.086520781299204
1749.1844012764552   5.3075101049958215
2269.64413321121   6.893312189563079
3268.351885249994   9.557610878010882
4390.701741343195   13.251673967962489
5796.923734294464   17.21106957657756
7787.583475777915   25.474961545924778
10461.834443918253   30.99319691402252
13812.474625902585   42.97221826370947
21321.043020281282   63.60532115336292
28642.67496375828   88.1890871379911
41246.263829013646   122.27459824438004
58373.290878564374   180.984724654073
85531.61980897818   250.9362009929808
98278.50057455874   305.29251540622334
